Unnamed: 0,Country,Player,Team,Base price,Winning bid,Year,team
844, India,Jayant Yadav,Gujarat Titans,100.0,170,2022,Gujarat Titans
845, India,Vijay Shankar,Gujarat Titans,50.0,140,2022,Gujarat Titans
846, West Indies,Odean Smith,Punjab Kings,100.0,600,2022,Punjab Kings
847, South Africa,Marco Jansen,Sunrisers Hyderabad,50.0,420,2022,Sunrisers Hyderabad
848, India,Shivam Dube,Chennai Super Kings,50.0,400,2022,Chennai Super Kings
849, India,Krishnappa Gowtham,Lucknow Super Giants,50.0,90,2022,Lucknow Super Giants
850, India,Khaleel Ahmed,Delhi Capitals,50.0,525,2022,Delhi Capitals
851, Sri Lanka,Dushmantha Chameera,Lucknow Super Giants,50.0,200,2022,Lucknow Super Giants
852, India,Chetan Sakariya,Delhi Capitals,50.0,420,2022,Delhi Capitals
853, India,Sandeep Sharma,Punjab Kings,50.0,50,2022,Punjab Kings
854, India,Navdeep Saini,Rajasthan Royals,75.0,260,2022,Rajasthan Royals
855, India,Jaydev Unadkat,Mumbai Indians,75.0,130,2022,Mumbai Indians
856, India,Mayank Markande,Mumbai Indians,50.0,65,2022,Mumbai Indians
857, India,Shahbaz Nadeem,Lucknow Super Giants,50.0,50,2022,Lucknow Super Giants
858, Sri Lanka,Maheesh Theekshana,Chennai Super Kings,50.0,70,2022,Chennai Super Kings
859, India,Rinku Singh,Kolkata Knight Riders,20.0,55,2022,Kolkata Knight Riders
860, India,Manan Vohra,Lucknow Super Giants,20.0,20,2022,Lucknow Super Giants
861, India,Lalit Yadav,Delhi Capitals,20.0,65,2022,Delhi Capitals
862, India,Ripal Patel,Delhi Capitals,20.0,20,2022,Delhi Capitals
863, India,Yash Dhull,Delhi Capitals,20.0,50,2022,Delhi Capitals
864, India,Tilak Varma,Mumbai Indians,20.0,170,2022,Mumbai Indians
865, India,Mahipal Lomror,Royal Challengers Bangalore,40.0,95,2022,Royal Challengers Bengaluru
866, India,Anukul Roy,Kolkata Knight Riders,20.0,20,2022,Kolkata Knight Riders
867, India,Darshan Nalkande,Gujarat Titans,20.0,20,2022,Gujarat Titans
868, India,R. Sanjay Yadav,Mumbai Indians,20.0,50,2022,Mumbai Indians
869, India,Raj Angad Bawa,Punjab Kings,20.0,200,2022,Punjab Kings
870, India,Rajvardhan Hangargekar,Chennai Super Kings,30.0,150,2022,Chennai Super Kings
871, India,Yash Dayal,Gujarat Titans,20.0,320,2022,Gujarat Titans
872, India,Simarjeet Singh,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
873, New Zealand,Finn Allen,Royal Challengers Bangalore,50.0,80,2022,Royal Challengers Bengaluru
874, New Zealand,Devon Conway,Chennai Super Kings,100.0,100,2022,Chennai Super Kings
875, West Indies,Rovman Powell,Delhi Capitals,75.0,280,2022,Delhi Capitals
876, England,Jofra Archer,Mumbai Indians,200.0,800,2022,Mumbai Indians
877, India,Rishi Dhawan,Punjab Kings,50.0,55,2022,Punjab Kings
878, South Africa,Dwaine Pretorius,Chennai Super Kings,50.0,50,2022,Chennai Super Kings
879, West Indies,Sherfane Rutherford,Royal Challengers Bangalore,100.0,100,2022,Royal Challengers Bengaluru
880, Australia,Daniel Sams,Mumbai Indians,100.0,260,2022,Mumbai Indians
881, New Zealand,Mitchell Santner,Chennai Super Kings,100.0,190,2022,Chennai Super Kings
882, West Indies,Romario Shepherd,Sunrisers Hyderabad,75.0,775,2022,Sunrisers Hyderabad
883, Australia,Jason Behrendorff,Royal Challengers Bangalore,75.0,75,2022,Royal Challengers Bengaluru
884, West Indies,Obed McCoy,Rajasthan Royals,75.0,75,2022,Rajasthan Royals
885, England,Tymal Mills,Mumbai Indians,100.0,150,2022,Mumbai Indians
886, New Zealand,Adam Milne,Chennai Super Kings,150.0,190,2022,Chennai Super Kings
887, India,Subhranshu Senapati,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
888, Australia,Tim David,Mumbai Indians,40.0,825,2022,Mumbai Indians
889, India,Pravin Dubey,Delhi Capitals,20.0,50,2022,Delhi Capitals
890, India,Prerak Mankad,Punjab Kings,20.0,20,2022,Punjab Kings
891, India,Suyash Prabhudessai,Royal Challengers Bangalore,20.0,30,2022,Royal Challengers Bengaluru
892, India,Vaibhav Arora,Punjab Kings,20.0,200,2022,Punjab Kings
893, India,Mukesh Choudhary,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
894, India,Rasikh Salam Dar,Kolkata Knight Riders,20.0,20,2022,Kolkata Knight Riders
895, India,Mohsin Khan,Lucknow Super Giants,20.0,20,2022,Lucknow Super Giants
896, India,Chama Milind,Royal Challengers Bangalore,20.0,25,2022,Royal Challengers Bengaluru
897, India,Prashant Solanki,Chennai Super Kings,20.0,120,2022,Chennai Super Kings
898, Australia,Sean Abbott,Sunrisers Hyderabad,20.0,240,2022,Sunrisers Hyderabad
899, West Indies,Alzarri Joseph,Gujarat Titans,75.0,240,2022,Gujarat Titans
900, Australia,Riley Meredith,Mumbai Indians,100.0,100,2022,Mumbai Indians
901, India,Ayush Badoni,Lucknow Super Giants,20.0,20,2022,Lucknow Super Giants
902, India,Aneeshwar Gautam,Royal Challengers Bangalore,100.0,100,2022,Royal Challengers Bengaluru
903, India,Baba Indrajith,Kolkata Knight Riders,20.0,20,2022,Kolkata Knight Riders
904, Sri Lanka,Chamika Karunaratne,Kolkata Knight Riders,50.0,50,2022,Kolkata Knight Riders
905, India,Ravikumar Samarth,Sunrisers Hyderabad,20.0,20,2022,Sunrisers Hyderabad
906, India,Abhijeet Tomar,Kolkata Knight Riders,20.0,40,2022,Kolkata Knight Riders
907, India,Pradeep Sangwan,Gujarat Titans,20.0,20,2022,Gujarat Titans
908, India,Writtick Chatterjee,Punjab Kings,20.0,20,2022,Punjab Kings
909, India,Pratham Singh,Kolkata Knight Riders,20.0,20,2022,Kolkata Knight Riders
910, India,Shashank Singh,Sunrisers Hyderabad,20.0,20,2022,Sunrisers Hyderabad
911, West Indies,Kyle Mayers,Lucknow Super Giants,50.0,50,2022,Lucknow Super Giants
912, India,Karan Sharma,Lucknow Super Giants,20.0,20,2022,Lucknow Super Giants
913, India,Baltej Singh,Punjab Kings,20.0,20,2022,Punjab Kings
914, India,Saurabh Dubey,Sunrisers Hyderabad,20.0,20,2022,Sunrisers Hyderabad
915, India,Mohammed Arshad Khan,Mumbai Indians,20.0,20,2022,Mumbai Indians
916, India,Ansh Patel,Punjab Kings,20.0,20,2022,Punjab Kings
917, India,Ashok Sharma,Kolkata Knight Riders,20.0,50,2022,Kolkata Knight Riders
918, India,Anunay Singh,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
919, South Africa,David Miller,Gujarat Titans,100.0,300,2022,Gujarat Titans
920, England,Sam Billings,Kolkata Knight Riders,200.0,200,2022,Kolkata Knight Riders
921, India,Wriddhiman Saha,Gujarat Titans,100.0,190,2022,Gujarat Titans
922, Australia,Matthew Wade,Gujarat Titans,200.0,240,2022,Gujarat Titans
923, India,C. Hari Nishanth,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
924, India,Anmolpreet Singh,Mumbai Indians,20.0,20,2022,Mumbai Indians
925, India,Narayan Jagadeesan,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
926, India,Vishnu Vinod,Sunrisers Hyderabad,20.0,50,2022,Sunrisers Hyderabad
927, England,Chris Jordan,Chennai Super Kings,200.0,360,2022,Chennai Super Kings
928, South Africa,Lungi Ngidi,Delhi Capitals,50.0,50,2022,Delhi Capitals
929, India,Karn Sharma,Royal Challengers Bangalore,50.0,50,2022,Royal Challengers Bengaluru
930, India,Kuldeep Sen,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
931, England,Alex Hales,Kolkata Knight Riders,150.0,150,2022,Kolkata Knight Riders
932, West Indies,Evin Lewis,Lucknow Super Giants,200.0,200,2022,Lucknow Super Giants
933, India,Karun Nair,Rajasthan Royals,50.0,140,2022,Rajasthan Royals
934, New Zealand,Glenn Phillips,Sunrisers Hyderabad,150.0,150,2022,Sunrisers Hyderabad
935, New Zealand,Tim Seifert,Delhi Capitals,50.0,50,2022,Delhi Capitals
936, Australia,Nathan Ellis,Punjab Kings,75.0,75,2022,Punjab Kings
937, Afghanistan,Fazalhaq Farooqi,Sunrisers Hyderabad,50.0,50,2022,Sunrisers Hyderabad
938, India,Ramandeep Singh,Mumbai Indians,20.0,20,2022,Mumbai Indians
939, India,Atharva Taide,Punjab Kings,20.0,20,2022,Punjab Kings
940, India,Dhruv Jurel,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
941, India,Mayank Yadav,Lucknow Super Giants,20.0,20,2022,Lucknow Super Giants
942, India,Tejas Baroka,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
943, Sri Lanka,Bhanuka Rajapaksa,Punjab Kings,50.0,50,2022,Punjab Kings
944, India,Gurkeerat Singh,Gujarat Titans,50.0,50,2022,Gujarat Titans
945, New Zealand,Tim Southee,Kolkata Knight Riders,150.0,150,2022,Kolkata Knight Riders
946, India,Rahul Buddhi,Mumbai Indians,20.0,20,2022,Mumbai Indians
947, England,Benny Howell,Punjab Kings,40.0,40,2022,Punjab Kings
948, India,Kuldip Yadav,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
949, India,Varun Aaron,Gujarat Titans,50.0,50,2022,Gujarat Titans
950, India,Ramesh Kumar,Kolkata Knight Riders,20.0,20,2022,Kolkata Knight Riders
951, India,Hrithik Shokeen,Mumbai Indians,20.0,20,2022,Mumbai Indians
952, India,K. Bhagath Varma,Chennai Super Kings,20.0,20,2022,Chennai Super Kings
953, India,Arjun Tendulkar,Mumbai Indians,20.0,30,2022,Mumbai Indians
954, India,Shubham Garhwal,Rajasthan Royals,20.0,20,2022,Rajasthan Royals
955, Afghanistan,Mohammad Nabi,Kolkata Knight Riders,100.0,100,2022,Kolkata Knight Riders
956, India,Umesh Yadav,Kolkata Knight Riders,200.0,200,2022,Kolkata Knight Riders
957, New Zealand,James Neesham,Rajasthan Royals,150.0,150,2022,Rajasthan Royals
958, Australia,Nathan Coulter-Nile,Rajasthan Royals,200.0,200,2022,Rajasthan Royals
959, India,Vicky Ostwal,Delhi Capitals,20.0,20,2022,Delhi Capitals
960, South Africa,Rassie van der Dussen,Rajasthan Royals,100.0,100,2022,Rajasthan Royals
961, New Zealand,Daryl Mitchell,Rajasthan Royals,75.0,75,2022,Rajasthan Royals
962, India,Siddharth Kaul,Royal Challengers Bangalore,75.0,75,2022,Royal Challengers Bengaluru
963, India,B. Sai Sudharshan,Gujarat Titans,20.0,20,2022,Gujarat Titans
964, India,Aryan Juyal,Mumbai Indians,20.0,20,2022,Mumbai Indians
965, India,Luvnith Sisodia,Royal Challengers Bangalore,20.0,20,2022,Royal Challengers Bengaluru
